model		num		filename
1005_en_global_window/1.1.7	sample_0.wav	88	EGWDW
0929_win_and_qkv/1.4.2		sample_1.wav	88	APC
0917_full_base_model/1.0.10	sample_2.wav	88	Base
0929_win_and_qkv/1.4.2		sample_3.wav	91	APC
1005_en_global_window/1.1.7	sample_4.wav	91	EGWDW
0917_full_base_model/1.0.10	sample_5.wav	91	Base
1005_en_global_window/1.1.7	sample_6.wav	3	EGWDW
0929_win_and_qkv/1.4.2		sample_7.wav	3	APC
0917_full_base_model/1.0.10	sample_8.wav	3	Base
0929_win_and_qkv/1.4.2		sample_9.wav	90	APC
0917_full_base_model/1.0.10	sample_10.wav	90	Base
1005_en_global_window/1.1.7	sample_11.wav	90	EGWDW
0929_win_and_qkv/1.4.2		sample_12.wav	62	APC
0917_full_base_model/1.0.10	sample_13.wav	62	Base
1005_en_global_window/1.1.7	sample_14.wav	62	EGWDW
1005_en_global_window/1.1.7	sample_15.wav	89	EGWDW
0917_full_base_model/1.0.10	sample_16.wav	89	Base
0929_win_and_qkv/1.4.2		sample_17.wav	89	APC
0929_win_and_qkv/1.4.2		sample_18.wav	87	APC
1005_en_global_window/1.1.7	sample_19.wav	87	EGWDW
0917_full_base_model/1.0.10	sample_20.wav	87	Base
1005_en_global_window/1.1.7	sample_21.wav	20	EGWDW
0917_full_base_model/1.0.10	sample_22.wav	20	Base
0929_win_and_qkv/1.4.2		sample_23.wav	20	APC
0917_full_base_model/1.0.10	sample_24.wav	109	Base
1005_en_global_window/1.1.7	sample_25.wav	109	EGWDW
0929_win_and_qkv/1.4.2		sample_26.wav	109	APC
1005_en_global_window/1.1.7	sample_27.wav	29	EGWDW
0929_win_and_qkv/1.4.2		sample_28.wav	29	APC
0917_full_base_model/1.0.10	sample_29.wav	29	Base
0917_full_base_model/1.0.10	sample_30.wav	0	Base
1005_en_global_window/1.1.7	sample_31.wav	0	EGWDW
0929_win_and_qkv/1.4.2		sample_32.wav	0	APC
0917_full_base_model/1.0.10	sample_33.wav	48	Base
0929_win_and_qkv/1.4.2		sample_34.wav	48	APC
1005_en_global_window/1.1.7	sample_35.wav	48	EGWDW
0929_win_and_qkv/1.4.2		sample_36.wav	68	APC
1005_en_global_window/1.1.7	sample_37.wav	68	EGWDW
0917_full_base_model/1.0.10	sample_38.wav	68	Base
0917_full_base_model/1.0.10	sample_39.wav	86	Base
0929_win_and_qkv/1.4.2		sample_40.wav	86	APC
1005_en_global_window/1.1.7	sample_41.wav	86	EGWDW
0917_full_base_model/1.0.10	sample_42.wav	51	Base
1005_en_global_window/1.1.7	sample_43.wav	51	EGWDW
0929_win_and_qkv/1.4.2		sample_44.wav	51	APC
0929_win_and_qkv/1.4.2		sample_45.wav	100	APC
0917_full_base_model/1.0.10	sample_46.wav	100	Base
1005_en_global_window/1.1.7	sample_47.wav	100	EGWDW
0929_win_and_qkv/1.4.2		sample_48.wav	21	APC
1005_en_global_window/1.1.7	sample_49.wav	21	EGWDW
0917_full_base_model/1.0.10	sample_50.wav	21	Base
0929_win_and_qkv/1.4.2		sample_51.wav	99	APC
1005_en_global_window/1.1.7	sample_52.wav	99	EGWDW
0917_full_base_model/1.0.10	sample_53.wav	99	Base
1005_en_global_window/1.1.7	sample_54.wav	106	EGWDW
0917_full_base_model/1.0.10	sample_55.wav	106	Base
0929_win_and_qkv/1.4.2		sample_56.wav	106	APC
1005_en_global_window/1.1.7	sample_57.wav	78	EGWDW
0917_full_base_model/1.0.10	sample_58.wav	78	Base
0929_win_and_qkv/1.4.2		sample_59.wav	78	APC
0917_full_base_model/1.0.10	sample_60.wav	76	Base
1005_en_global_window/1.1.7	sample_61.wav	76	EGWDW
0929_win_and_qkv/1.4.2		sample_62.wav	76	APC
